METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION,YIELD
,,,,
,,,,
-0.5,0.85,0.41,1278,1256
1.62,0.44,1.54,1134,1670
-1.69,-0.01,0.17,1323,1060
0.13,0.47,0.52,1178,1380
0.12,-1.09,-0.62,854,864
0.11,-0.56,0.12,1312,1564
0.87,0.01,0.99,1395,2764
0.87,0.11,1.04,1343,2545
0.34,-1.08,-0.46,2797,5730
-1.46,1.11,-0.44,2712,5145
0.31,-1.08,0.39,2161,4390
0.79,-0.27,-0.29,2863,4720
1.15,0.31,1.66,3150,6370
-1.03,-0.53,-1.12,5601,11323
-0.55,1.04,0.12,6265,12661
0.05,0.94,-0.47,5405,12881
0.53,-0.23,-0.19,6756,18011
-0.66,-0.67,-0.52,7629,17077
-0.11,-0.01,0.12,8236,16463
-0.49,1.14,-0.31,921,673
0.5,2.19,0.05,1278,1160
1.93,-0.05,2.13,1634,1571
-1.23,-0.15,-1.46,873,872
0.42,-0.39,0.54,1078,1280
0.91,0.02,0.53,1254,1160
-0.96,-0.64,-1.06,812,1700
0.16,0.80,0.59,1395,2760
0.82,0.18,1.14,1303,2570
-0.85,0.52,-1.07,2797,5730
-0.44,1.60,-0.59,2512,5120
-0.58,1.00,0.08,2161,4390
1.38,-0.32,1.35,2543,5120
1.89,-0.13,2.25,3150,6370
0.21,-1.07,-0.03,5601,11380
-2.26,-0.16,-0.69,6245,12661
1.08,-0.81,0.64,6905,13981
-0.71,-0.81,-0.85,8899,18011
-1.32,0.46,-1.32,8429,17077
-0.76,1.72,-0.42,8236,16693
0.59,0.75,0.68,11186,13692
0.64,-2.03,0.29,13293,71841
0.69,-0.39,0.16,13246,69618
-0.2,-1.12,0.05,16466,76838
-1.28,-0.81,-1.61,13868,50337
1.64,-0.91,1.74,10775,55456
0.75,-1.69,0.43,17206,113243
-0.36,-1.25,-0.89,23483,52304
